coordinates,created_at,followers,friends,geolocation,original_text,text,tweet_type,user_id,user_location,user_name,user_screen_name,verified,lang
,2015-09-08 14:32:21+00:00,596,894,,"A refugee, you say? Well, may I ask you what kind of refugee would... OWN A WATCH? http://t.co/q4AMSrdF6i","RT @Danny_McMoomins: A refugee, you say? Well, may I ask you what kind of refugee would... OWN A WATCH? http://t.co/q4AMSrdF6i",share,1000032338,Deva Victrix,1244,Uncharming_Man,FALSE,en
,2015-09-08 16:20:40+00:00,596,894,,Minister in the Lords just confirmed refugee orphans and children brought in under Cameron's scheme will be deported at age 18.,RT @paddyashdown: Minister in the Lords just confirmed refugee orphans and children brought in under Cameron's scheme will be deported at a…,share,1000032338,Deva Victrix,1244,Uncharming_Man,FALSE,en
,2015-09-09 04:10:11+00:00,1805,2001,,PHOTOS: A migrant carrying a child falls after he appears to be tripped by a TV camerawoman. http://t.co/sZSCq6X5wT http://t.co/gDZP6cNkqM,RT @Reuters: PHOTOS: A migrant carrying a child falls after he appears to be tripped by a TV camerawoman. http://t.co/sZSCq6X5wT http://t.c…,share,100101249,Guaranda - Quito - Ecuador,  cristian pineda ™ ,fotopine,FALSE,en
,2015-09-11 21:28:37+00:00,244,788,,Europe migrant crisis: Hungary 'will arrest illegal migrants' http://t.co/olQGHp0Bmp,RT @davidrieff: Europe migrant crisis: Hungary 'will arrest illegal migrants' http://t.co/olQGHp0Bmp,share,1001442932,,Ash,conteashanti,FALSE,en
,2015-09-04 19:42:43+00:00,247,786,,Coming soon: An unmissable rare look inside Libya's migrant detention camps: https://t.co/ICOflVfkV6 http://t.co/GVbP1TrPin,RT @meerapattni: Coming soon: An unmissable rare look inside Libya's migrant detention camps: https://t.co/ICOflVfkV6 http://t.co/GVbP1TrPin,share,1001442932,,Ash,conteashanti,FALSE,en
,2015-09-09 07:22:17+00:00,265,211,,Camerawoman for N1TV trips a #refugee carrying a small child as he runs from police http://t.co/NkoJ3DKTOC,RT @Conflicts: Camerawoman for N1TV trips a #refugee carrying a small child as he runs from police http://t.co/NkoJ3DKTOC,share,1001359440,south of the thames,Yassine ,_YassineL,FALSE,en
,2015-09-08 12:15:17+00:00,200,220,,Mountains of donated clothes at a #refugee center in #Munich. So many they have asked residents to stop http://t.co/hjEJ0kNB1W,RT @MarquardtA: Mountains of donated clothes at a #refugee center in #Munich. So many they have asked residents to stop http://t.co/hjEJ0kN…,share,1001631127,,,Waainwonderland,FALSE,en
,2015-09-08 11:29:54+00:00,589,521,,High School students in 2015 have the same anxiety levels as insane asylum patients in the 1950s.,RT @Fact: High School students in 2015 have the same anxiety levels as insane asylum patients in the 1950s.,share,1001767848,"No Text Back, FL",Ꮰ,Jordan_burks15,FALSE,en
,2015-09-09 02:39:17+00:00,884,2001,,Worst journalist of the year award goes to camerawoman who tried to trip a refugee so they'd be caught by the police. http://t.co/2vRTYMLfmm,RT @DavidKenner: Worst journalist of the year award goes to camerawoman who tried to trip a refugee so they'd be caught by the police. http…,share,100072081,The Real World LA!,⚽Jorgeh⚾,lkshw06,FALSE,en
,2015-09-11 19:08:38+00:00,1261,1988,,"Vloggers @SprinkleofGlitr, @johngreen and more are speaking out about the refugee crisis: http://t.co/PTYXng1Sya http://t.co/SvxJgmFcz1","RT @MTVUK: Vloggers @SprinkleofGlitr, @johngreen and more are speaking out about the refugee crisis: http://t.co/PTYXng1Sya http://t.co/Svx…",share,1002108372,SCOTLAND,❥,ImNIALLlover,FALSE,en
,2015-09-06 16:07:53+00:00,788,423,,The son of a Syrian migrant http://t.co/nxbNI8dIKp,RT @SadHappyAmazing: The son of a Syrian migrant http://t.co/nxbNI8dIKp,share,100035099,Libya,✖️ Bugs ✖️,M_Bugashata,FALSE,en
,2015-09-08 18:49:18+00:00,1200,706,,,where is this https://t.co/DumcvUh82K,post,100160849,EUG,#1 mom,lightskinthots,FALSE,en
,2015-09-15 12:14:26+00:00,1580,1254,,,Charlie Hebdo making fun of Aylan Kurdi was to be expected. They have been doing that to African migrant drownings for a while now,post,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-05 17:16:14+00:00,1593,1256,,,Must read  https://t.co/BRJ9kPazH0,post,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-06 16:20:41+00:00,1592,1257,,"Pope Francis: ""Every parish, community, monastery, shrine in Europe will host a refugee family, starting w. Rome"".  https://t.co/qkexwwowV4","RT @1AlfredoZamudio: Pope Francis: ""Every parish, community, monastery, shrine in Europe will host a refugee family, starting w. Rome"".  ht…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-05 03:17:22+00:00,1592,1255,,"@Tigershah26 Where were people when Syrians/Libyans were dying by the boatload for past 4 years? Oh right, demanding restrictions on asylum.","RT @Aamerium: @Tigershah26 Where were people when Syrians/Libyans were dying by the boatload for past 4 years? Oh right, demanding restrict…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-04 20:43:11+00:00,1594,1253,,"@Tigershah26 the amount of stories by white people on FB sharing their ""refugee experience"" with ""so proud of you"" comments, makes me sick","RT @adamcrossphoto: @Tigershah26 the amount of stories by white people on FB sharing their ""refugee experience"" with ""so proud of you"" comm…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-10 05:22:29+00:00,1584,1252,,"Same problem faced by Muslims who went 2 Pakistan from here. Still called ""mohajir"" (immigrant/refugee). Same-2-same https://t.co/2rcCgb1xiy","RT @anitajoshua: Same problem faced by Muslims who went 2 Pakistan from here. Still called ""mohajir"" (immigrant/refugee). Same-2-same https…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-12 14:51:36+00:00,1581,1256,,"Note increased use of phrase ""human security"" in connection with warmongering surrounding Syria refugee crisis. This is a rebranding of +","RT @cordeliers: Note increased use of phrase ""human security"" in connection with warmongering surrounding Syria refugee crisis. This is a r…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-04 20:21:50+00:00,1594,1253,,"Israeli newspaper cartoon on refugee baby drowning: White European man shouting “Help, I’m drowning”… in brown people http://t.co/yz5gCjyvrX","RT @davidsheen: Israeli newspaper cartoon on refugee baby drowning: White European man shouting “Help, I’m drowning”… in brown people http:…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-13 12:39:49+00:00,1579,1256,,"For those concerned about the economic impacts of refugee arrival, here is a famous study from 1990: https://t.co/oGjhEzd35n","RT @dinapomeranz: For those concerned about the economic impacts of refugee arrival, here is a famous study from 1990: https://t.co/oGjhEzd…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-08 20:38:53+00:00,1588,1253,,"Camerawoman tripping up a refugee. Her name is Petra Lazlo from the radical right Jobbik Party.

#refugeeswelcome http://t.co/5DN4YxCEa2",RT @doammuslims: Camerawoman tripping up a refugee. Her name is Petra Lazlo from the radical right Jobbik Party.  #refugeeswelcome http://t…,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-08 21:57:28+00:00,1588,1253,,Actual non-Onion headline from Australia http://t.co/jwamHAzN18  (via @DougHenwood) http://t.co/exKTR4g09k,RT @ggreenwald: Actual non-Onion headline from Australia http://t.co/jwamHAzN18  (via @DougHenwood) http://t.co/exKTR4g09k,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-05 03:08:25+00:00,1592,1255,,Conservative rule overhaul blamed for Syrian refugee backlog http://t.co/ahd3XRqjmW via @MookieG77,RT @iD4RO: Conservative rule overhaul blamed for Syrian refugee backlog http://t.co/ahd3XRqjmW via @MookieG77,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-03 04:41:50+00:00,1590,1255,,"The refugee crisis, as well as Canada's lacklustre response, hits close to home for me.","RT @iD4RO: The refugee crisis, as well as Canada's lacklustre response, hits close to home for me.",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-06 15:39:20+00:00,1592,1257,,"Example of moral leadership. The Islamic world doesn't just have a political crisis, it has a deep moral crisis. https://t.co/IigumtyEfG","RT @iyad_elbaghdadi: Example of moral leadership. The Islamic world doesn't just have a political crisis, it has a deep moral crisis. https…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-13 14:23:21+00:00,1579,1257,,Let's wait for a Yemeni refugee crisis to do something about the war in Yemen.,RT @iyad_elbaghdadi: Let's wait for a Yemeni refugee crisis to do something about the war in Yemen.,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-04 01:51:11+00:00,1593,1252,,Biggest thing Europe could do to slow the refugee flow: stop Assad's barrel bombing civilians. http://t.co/zMD5Tn2yOT http://t.co/IWIWgPBzw1,RT @KenRoth: Biggest thing Europe could do to slow the refugee flow: stop Assad's barrel bombing civilians. http://t.co/zMD5Tn2yOT http://t…,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-03 13:41:29+00:00,1590,1254,,"Inconvenient for Islamophobes. Top four refugee-hosting countries? Turkey, Pakistan, Lebanon &amp; Iran v @OmarWaraich http://t.co/tCVDQGp0Bh","RT @mosharrafzaidi: Inconvenient for Islamophobes. Top four refugee-hosting countries? Turkey, Pakistan, Lebanon &amp; Iran v @OmarWaraich http…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-07 03:14:24+00:00,1591,1256,,Hundreds of asylum seekers from Iran and Afghanistan have converted to Christianity in Berlin. http://t.co/hZUpEDtPEy via @torontostar,RT @mukhtaryare: Hundreds of asylum seekers from Iran and Afghanistan have converted to Christianity in Berlin. http://t.co/hZUpEDtPEy via …,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-12 11:43:56+00:00,1581,1257,,"Meanwhile.. Saudi led airstrikes continue: 'Yemen, the world’s next great refugee crisis' http://t.co/IjIVe7IXIT https://t.co/llPl54fOqm","RT @NabeelaZahir: Meanwhile.. Saudi led airstrikes continue: 'Yemen, the world’s next great refugee crisis' http://t.co/IjIVe7IXIT https://…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-07 21:14:25+00:00,1587,1254,,In world news: a human catastrophe. In European news: a refugee crisis. In US news: a European issue.,RT @NeinQuarterly: In world news: a human catastrophe. In European news: a refugee crisis. In US news: a European issue.,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-13 14:57:15+00:00,1580,1256,,"#Germany is about to reintroduce #border controls between Bavaria and Austria to control #refugee flow. #Merkel, the refugee Chancellor?","RT @varathas: #Germany is about to reintroduce #border controls between Bavaria and Austria to control #refugee flow. #Merkel, the refugee …",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-07 02:49:54+00:00,1591,1256,,Important read on the hierarchy of refugee stories &amp; the marginalisation of non-Middle Eastern refugees in reporting http://t.co/8RmBdOYDDQ,RT @varathas: Important read on the hierarchy of refugee stories &amp; the marginalisation of non-Middle Eastern refugees in reporting http://t…,share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-08 17:00:45+00:00,1587,1254,,"You mean, build a 670 mile long wall and detain them in outsourced detention camps built on remote islands? 
https://t.co/fbzd3kUwRg","RT @varathas: You mean, build a 670 mile long wall and detain them in outsourced detention camps built on remote islands?  https://t.co/fbz…",share,100084513,"Toronto, Canada",#NotAllZaids,Tigershah26,FALSE,en
,2015-09-03 15:44:12+00:00,1362,1267,,,"""Lies are like scars to the soul, they destroy you.""- Lana Winters, AHS Asylum.",post,100156953,"Dallas, Texas",4TwistedShadows,4twistedshadows,FALSE,en
,2015-09-06 05:13:35+00:00,1364,1248,,,Europe's refugee crisis is darkened by the shadows of WWII http://t.co/Tmbyv0TfgC,post,100156953,"Dallas, Texas",4TwistedShadows,4twistedshadows,FALSE,en
,2015-09-12 14:32:37+00:00,58,180,,Arsenal fans unveil refugee banner ahead of match against Stoke http://t.co/XjCGxcynN8 http://t.co/sK1D4VPAss,RT @Eurosport_UK: Arsenal fans unveil refugee banner ahead of match against Stoke http://t.co/XjCGxcynN8 http://t.co/sK1D4VPAss,share,1000281877,Estados Unidos,"Aaron Law, Slowly",horse_lawyer,FALSE,en
,2015-09-05 14:09:42+00:00,26,19,,A comparison between #Saudi-funded #refugee centers and the hospitality shown to them in #France. https://t.co/Nt1fU9AJIc,RT @abumiftah: A comparison between #Saudi-funded #refugee centers and the hospitality shown to them in #France. https://t.co/Nt1fU9AJIc,share,100008999,Middle East,Abdul Muhsin,mattpcuk,FALSE,en
,2015-09-11 09:14:06+00:00,1084,2001,,,Asylum needs to be easier in every country,post,1000798291,Activists Are Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-08 07:09:13+00:00,1084,2001,,"MEDIA ALERT: Press Conference -  08Sept2015 by @cochetel at 17.30HRS - Intercontinental Budapest, #Hungary - #Europe's Refugee Crisis","RT @BabarBloch: MEDIA ALERT: Press Conference -  08Sept2015 by @cochetel at 17.30HRS - Intercontinental Budapest, #Hungary - #Europe's Refu…",share,1000798291,Activists Are Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-02 23:58:34+00:00,1096,2002,,Budapest migrant standoff enters second night - BBC News http://t.co/W7ho8CsHgs,RT @captsingh: Budapest migrant standoff enters second night - BBC News http://t.co/W7ho8CsHgs,share,1000798291,The Matrix Is Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-04 23:12:45+00:00,1088,2000,,"Refugees escorted off trains in #Hungary by police, to be bused to refugee camps - @griffwitte 

http://t.co/8ECm8wnaAF","RT @Conflicts: Refugees escorted off trains in #Hungary by police, to be bused to refugee camps - @griffwitte   http://t.co/8ECm8wnaAF",share,1000798291,The Matrix Is Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-02 23:49:18+00:00,1096,2002,,The answer to the refugee crisis? A return to European ideals. #migrantcrisis #refugeecrisis http://t.co/Ubs1l0jcD1 http://t.co/VGF6Netgk9,RT @oD_Europe: The answer to the refugee crisis? A return to European ideals. #migrantcrisis #refugeecrisis http://t.co/Ubs1l0jcD1 http://t…,share,1000798291,The Matrix Is Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-05 02:07:47+00:00,1088,2000,,"US has as much moral duty to accept Syrian refugees as Europe. If not more.
https://t.co/4DHdge5gHh",RT @RichardDawkins: US has as much moral duty to accept Syrian refugees as Europe. If not more. https://t.co/4DHdge5gHh,share,1000798291,The Matrix Is Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-04 23:13:06+00:00,1088,2000,,Desperate refugees break out of camps and start 110-mile trek to escape Hungary http://t.co/xFMq8uw7k8 #migrantcrisis http://t.co/FTgnQuWfZL,RT @Telegraph: Desperate refugees break out of camps and start 110-mile trek to escape Hungary http://t.co/xFMq8uw7k8 #migrantcrisis http:/…,share,1000798291,The Matrix Is Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-04 04:50:16+00:00,1097,2002,,,Safe travels to all refugee's,post,1000798291,The Matrix Is Everywhere,Activist Int'l ,ActivistIntl,FALSE,en
,2015-09-02 12:42:28+00:00,1208,786,"Dublin City, Ireland",,"Cameron's views are outdated and outmoded. Labour need strong, reasoned opposition like @YvetteForLabour to combat. https://t.co/fMPFJsDABx",post,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-02 21:27:44+00:00,1210,787,,,"Cried about refugee deaths. Will continue to agitate, not just online for Ireland to do its humanitarian duty. https://t.co/kDXaFnwHjX",post,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-04 10:12:53+00:00,1214,791,"Dublin City, Ireland",,Proud @labour Cllr Brendan Carr  has proposed DCC use available resources to tackle refugee crisis. #refugeeswelcome http://t.co/Y6fKKOhd3j,post,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-02 21:54:21+00:00,1210,787,,"They are refugees, not migrants  https://t.co/o89qIskDDC","RT @billiesparks: They are refugees, not migrants  https://t.co/o89qIskDDC",share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-02 23:29:35+00:00,1210,788,,".@YvetteCooperMP writes to @David_Cameron: ""Do not be the British Prime Minister who turns his back on the refugee crisis of our generation""","RT @faisalislam: .@YvetteCooperMP writes to @David_Cameron: ""Do not be the British Prime Minister who turns his back on the refugee crisis …",share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-03 14:37:46+00:00,1211,788,,Why everyone should read Yvette Cooper's powerful speech on the refugee crisis http://t.co/r7rmxkpgYV http://t.co/40UiiVHblj,RT @Independent: Why everyone should read Yvette Cooper's powerful speech on the refugee crisis http://t.co/r7rmxkpgYV http://t.co/40UiiVHb…,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-10 00:42:04+00:00,1220,800,,Consulting this afternoon with Irish NGOs on our response to the refugee crisis. http://t.co/KWe1Az6J6q,RT @joanburton: Consulting this afternoon with Irish NGOs on our response to the refugee crisis. http://t.co/KWe1Az6J6q,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-06 14:43:27+00:00,1211,790,,Pope calls for refugee family in every EU parish via @RTENewsNow http://t.co/qj6tggLtpY,RT @joannatuffytd: Pope calls for refugee family in every EU parish via @RTENewsNow http://t.co/qj6tggLtpY,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-12 14:24:40+00:00,1217,801,,Brendan Ogle shouted down as he turns Support Refugee Speech into political speech.,RT @Luighseach: Brendan Ogle shouted down as he turns Support Refugee Speech into political speech.,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-10 21:04:38+00:00,1221,801,,My new favorite photo to come out of the refugee crisis. http://t.co/3es6EZAWKo http://t.co/UwJuDDHRYn,RT @maxjrosenthal: My new favorite photo to come out of the refugee crisis. http://t.co/3es6EZAWKo http://t.co/UwJuDDHRYn,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-04 22:32:07+00:00,1214,793,,@bkalnoky you asked for baby carriages and look! A couple from #Hungary just gave one. #MigrantMarch #refugee http://t.co/yOHOyz1bPm,RT @panyiszabolcs: @bkalnoky you asked for baby carriages and look! A couple from #Hungary just gave one. #MigrantMarch #refugee http://t.c…,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-02 22:39:36+00:00,1211,788,,@labour please take action on migrant crisis #refugeeswelcome,RT @seamusryan1: @labour please take action on migrant crisis #refugeeswelcome,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-01 11:28:52+00:00,1211,786,,Everyone should read Yvette Cooper's powerful speech on the refugee crisis http://t.co/Vr5WSPcTZl http://t.co/KDhKbM2pcU,RT @thei100: Everyone should read Yvette Cooper's powerful speech on the refugee crisis http://t.co/Vr5WSPcTZl http://t.co/KDhKbM2pcU,share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-04 11:47:22+00:00,1214,791,,"""Without a concrete and common response Europe is at risk"" - @giannipittella &amp; @BCazeneuve discuss #refugee crisis http://t.co/N6hXZaIGpH","RT @TheProgressives: ""Without a concrete and common response Europe is at risk"" - @giannipittella &amp; @BCazeneuve discuss #refugee crisis htt…",share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-03 18:08:25+00:00,1211,789,,"Yvette Cooper says Britain has a ""moral obligation"" to help in the refugee crisis.

#LabourDebate http://t.co/R3O0RVgr0q","RT @UK__News: Yvette Cooper says Britain has a ""moral obligation"" to help in the refugee crisis.  #LabourDebate http://t.co/R3O0RVgr0q",share,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-03 18:17:04+00:00,1211,789,"Dublin City, Ireland",,Yvette Cooper pointing out the difference between immigration and asylum. Very strong so far. #LabourDebate,post,100200198,"North Inner City, Dublin - IRE",Adam Hurley,ATMH1994,FALSE,en
,2015-09-11 19:46:06+00:00,162,165,,A German toddler welcomed a young Syrian refugee to her country – in the sweetest way: https://t.co/o7m3sN2Ac2 h/t @CassVinograd,RT @ajplus: A German toddler welcomed a young Syrian refugee to her country – in the sweetest way: https://t.co/o7m3sN2Ac2 h/t @CassVinograd,share,1001921389,"Calgary, Alberta",Addie Fash™,AdeotiFashokun,FALSE,en
,2015-09-07 23:18:55+00:00,5774,704,,Right-Wing European Parties May Benefit From Migrant Crisis http://t.co/BV7FL0eG2q,RT @nytimes: Right-Wing European Parties May Benefit From Migrant Crisis http://t.co/BV7FL0eG2q,share,1000228238,,adrian wooldridge,adwooldridge,TRUE,en
,2015-09-03 00:13:31+00:00,1125,2001,,A dead baby becomes the most tragic symbol yet of the Mediterranean refugee crisis http://t.co/F9OIbawNDu,RT @PostWorldNews: A dead baby becomes the most tragic symbol yet of the Mediterranean refugee crisis http://t.co/F9OIbawNDu,share,1001855114,"Canonsburg, PA",Agoge Leadership Dev,agogeleadership,FALSE,en
,2015-09-05 16:23:51+00:00,57,266,,Refugee crisis: how to help http://t.co/IOTM7V2xoX  #refugeecrisis #refugeeswelcome http://t.co/yWqLVPYCe4,RT @BelTel: Refugee crisis: how to help http://t.co/IOTM7V2xoX  #refugeecrisis #refugeeswelcome http://t.co/yWqLVPYCe4,share,1000030524,lisburn northern ireland,alan,alanscott236,FALSE,en
,2015-09-05 00:05:21+00:00,4539,4566,,#refugee families hurriedly packed belongings to get a place on the buses - they see this as a ticket to a new life http://t.co/eYSlE2uTjI,RT @DanhawkinsDh: #refugee families hurriedly packed belongings to get a place on the buses - they see this as a ticket to a new life http:…,share,1000379821,Montañas de Antioquia,Alberto de Lucía,dizarrow,FALSE,en
,2015-09-11 23:08:10+00:00,404,376,,,I wasn't aware of the 1951 UN refugee convention. Makes it even more unforgiving how Europe is reacting https://t.co/fFvwYGDFKm,post,1001354666,Bristol,Alexander Birke,AlexanderBirke,FALSE,en
,2015-09-12 16:58:59+00:00,17,44,,Couldn't resist this. Red Flag is our You'll Never Walk Alone &amp; today felt like we'd won the cup and Premier League https://t.co/rel7dbivnT,RT @billybragg: Couldn't resist this. Red Flag is our You'll Never Walk Alone &amp; today felt like we'd won the cup and Premier League https:/…,share,1000086649,,Alexandra Payne,payne_alexandra,FALSE,en
,2015-09-15 15:43:48+00:00,61,187,,"Our new Poet Laureate reads here tonight at 7pm. Before, read NPR's talk w/Juan Felipe Herrera http://t.co/GVE5WYbofh http://t.co/zXM7r6dhNP","RT @librarycongress: Our new Poet Laureate reads here tonight at 7pm. Before, read NPR's talk w/Juan Felipe Herrera http://t.co/GVE5WYbofh …",share,1000344762,Florida,Ali Souz,51Cancer,FALSE,en
,2015-09-04 09:04:30+00:00,12,52,"Warrnambool, Victoria",,"Following @msf_field as she tweets her day with msf. With refugee crises all over news, how can we turn away? https://t.co/NUPRJHe58g",post,1000850677,,Ali Toohey,AliToohey,FALSE,en
,2015-09-03 19:39:06+00:00,113,265,,,This is a really nice thing you can do today. A bunch of YA authors matching donations to help refugees. cc@4everYA  https://t.co/BkkWZ386cL,post,100040524,"Bedford, MA",Alice,deliciousnicity,FALSE,en
,2015-09-04 07:38:18+00:00,80,296,,"If we accepted one Syrian refugee for each wealthy person to whom we have given non-dom status, we would be taking 113k #refugeeswelcome","RT @JamesPlaskitt10: If we accepted one Syrian refugee for each wealthy person to whom we have given non-dom status, we would be taking 113…",share,100076250,Doncaster,Alix Harrison-Rowe,Alixharrowe,FALSE,en
,2015-09-01 07:11:15+00:00,118,431,,The #German people are displaying their true colors of compassion and ingenuity in the face of #refugeecrisis. Bravo https://t.co/wdolMv6jnz,RT @stephenkalin: The #German people are displaying their true colors of compassion and ingenuity in the face of #refugeecrisis. Bravo http…,share,1000366855,,Allosha,AlloshaHani,FALSE,en
,2015-09-14 10:40:28+00:00,266,975,,#BREAKING Germany won't close its doors to asylum-seekers: Merkel's spokesman,RT @AFP: #BREAKING Germany won't close its doors to asylum-seekers: Merkel's spokesman,share,100162022,"Sydney, Australia",amjad hussain,amjadhussain73,FALSE,en
,2015-09-06 01:31:56+00:00,260,954,,"Cheering German crowds greet #refugees after long trek from Budapest to Munich, welcomed &amp; fed on arrival http://t.co/T8QEtdpKau","RT @david_manne: Cheering German crowds greet #refugees after long trek from Budapest to Munich, welcomed &amp; fed on arrival http://t.co/T8QE…",share,100162022,"Sydney, Australia",amjad hussain,amjadhussain73,FALSE,en
,2015-09-08 02:49:48+00:00,259,954,,"People seeking #refuge should be welcomed on the basis of need, 
not on the basis of religion. No to discrimination.
http://t.co/V9idZP7bZS","RT @JohnFalzon: People seeking #refuge should be welcomed on the basis of need,  not on the basis of religion. No to discrimination. http:/…",share,100162022,"Sydney, Australia",amjad hussain,amjadhussain73,FALSE,en
,2015-09-05 09:47:12+00:00,259,951,,"'The right to political asylum has no limits' - Angela Merkel 

http://t.co/LJ6zEkyKlu http://t.co/CiaWuBQpUT",RT @nzherald: 'The right to political asylum has no limits' - Angela Merkel   http://t.co/LJ6zEkyKlu http://t.co/CiaWuBQpUT,share,100162022,"Sydney, Australia",amjad hussain,amjadhussain73,FALSE,en
,2015-09-05 21:50:33+00:00,260,951,,,The Refugee Crisis Isn’t a ‘European Problem’ http://t.co/gBu0KV8Cgd,post,100162022,"Sydney, Australia",amjad hussain,amjadhussain73,FALSE,en
,2015-09-06 05:32:20+00:00,1435,1999,,,"Breaking News: Finnish PM offers his home to asylum seekers - Al Jazeera English http://t.co/6JTqit49Us, see more http://t.co/90ozkHW441",post,100132110,"Siliguri 734003, India",Amrit Chhetri,AmritChhetriB,FALSE,en
,2015-09-07 01:40:48+00:00,1436,1999,,,"Top Tech-News: Take a tour through a creepy abandoned children's asylum [video]… http://t.co/6PzwVfMFnR, see more http://t.co/zev0keO5Z6",post,100132110,"Siliguri 734003, India",Amrit Chhetri,AmritChhetriB,FALSE,en
,2015-09-01 11:27:20+00:00,1433,1999,,,"Trending News: East-west tensions break out over call to share migrant burden -… http://t.co/Cpss8dBJnE, see more http://t.co/iPQ28Y0CFS",post,100132110,"Siliguri 734003, India",Amrit Chhetri,AmritChhetriB,FALSE,en
,2015-09-02 21:16:01+00:00,56,47,,A bigger welcome mat for asylum-seekers would be in Europe’s own interest http://t.co/a5q0QaytX1 http://t.co/cObJ5l4fkE,RT @TheEconomist: A bigger welcome mat for asylum-seekers would be in Europe’s own interest http://t.co/a5q0QaytX1 http://t.co/cObJ5l4fkE,share,100204191,,Ana Neves,anamoroso,FALSE,en
,2015-09-05 06:17:04+00:00,2768,827,,"Sweden accepts 76.6% of asylum claims. It amounts to over 300 migrants per 100,000 people http://t.co/6jD32Qd4aU http://t.co/xymFSpESKq","RT @TheEconomist: Sweden accepts 76.6% of asylum claims. It amounts to over 300 migrants per 100,000 people http://t.co/6jD32Qd4aU http://t…",share,100182732,Grödinge,Anders Dalenius,AndersDalenius,FALSE,en
